model,dataset,wer
base_l11,dev-clean,3.8215506782838866
base_l11,dev-other,11.366491324487713
base_l11,expresso-read-test,20.932185597312618
base_l11,test-clean,4.117848447961047
base_l11,test-other,11.26416139693942
ft_l12,dev-clean,4.358295650895188
ft_l12,dev-other,10.75213943628798
ft_l12,expresso-read-test,23.031702708377072
ft_l12,test-clean,4.627586731588558
ft_l12,test-other,10.903081596393022
ft_l13,dev-clean,5.775522958714753
ft_l13,dev-other,11.896443432519431
ft_l13,expresso-read-test,23.80852403947092
ft_l13,test-clean,5.974208764455264
ft_l13,test-other,12.121964732629005
truth,dev-clean,1.6892761295540606
truth,dev-other,3.55460469498312
truth,expresso-read-test,11.90426201973546
truth,test-clean,1.8620663420572126
truth,test-other,3.8897273751982118
